Overall rank,Continent,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Gini index
149,1,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141,
25,1,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097,
74,1,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,
153,2,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,40.5
52,1,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,34.9
139,2,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,
39,4,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016,
124,2,Tunisia,4.461,0.921,1,0.815,0.167,0.059,0.055,
79,1,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,41.9
87,1,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,
136,2,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,42.7
133,6,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,26.6
21,1,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,26
15,6,The United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,32.8
19,3,The United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,41.5
33,4,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,39.7
41,1,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,
108,4,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,
94,1,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,35.7
151,1,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,
138,2,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,
146,2,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,50.3
